Nombre del Centro;Nº de Registro;Dirección;Código postal;Localidad;Provincia;Teléfono;Fax;Tipo de Centro;Finalidad Asistencial;Titularidad;Dependencia Funcional
ALAIN AFFLELOU OPTICO;47-E-0024;AV. MONASTRIO NUESTRA SEÑORA DEL PRADO, ANTES ( AVDA. DE  PUENTE COLGANTE S/N) 5  ;47014;VALLADOLID;VALLADOLID;983379915;0;ESTABLECIMIENTOS SANITARIOS (ÓPTICAS, ORTOPEDIAS, AUDIOPRÓTESIS);ESTABLECIMIENTO DE ÓPTICA;ALAIN AFFLELOU OPTICO S.A.;PRIVADOS;
ALAIN AFFLELOU OPTICO;47-E-0025;CL. COSTA BRAVA 2  ;47010;VALLADOLID;VALLADOLID;983265858;0;ESTABLECIMIENTOS SANITARIOS (ÓPTICAS, ORTOPEDIAS, AUDIOPRÓTESIS);ESTABLECIMIENTO DE ÓPTICA;ALAIN AFFLELOU OPTICO S.A.;PRIVADOS;
ALAIN AFFLELOU OPTICO;40-E-0035;CL. EZEQUIEL GONZÁLEZ  39  ;40002;SEGOVIA;SEGOVIA;921430920;921430796;ESTABLECIMIENTOS SANITARIOS (ÓPTICAS, ORTOPEDIAS, AUDIOPRÓTESIS);ESTABLECIMIENTO DE ÓPTICA;OPTICA ABULA S.L.;PRIVADOS;
ALAIN AFFLELOU OPTICO;24-E-0104;CL. CAPITAN CORTES 12  ;24001;LEON;LEON;627790594;0;ESTABLECIMIENTOS SANITARIOS (ÓPTICAS, ORTOPEDIAS, AUDIOPRÓTESIS);ESTABLECIMIENTO DE ÓPTICA;TORMEVISIÓN ÓPTICOS, S.L.;PRIVADOS;
ALAIN AFFLELOU OPTICO;24-E-0008;CL. ALCALDE MIGUEL CASTAÑO 95  ;24005;LEON;LEON;987216292;0;ESTABLECIMIENTOS SANITARIOS (ÓPTICAS, ORTOPEDIAS, AUDIOPRÓTESIS);ESTABLECIMIENTO DE ÓPTICA;AFLOLEA VISIÓN, S.L.;PRIVADOS;
ALAIN AFFLELOU ÓPTICO;24-E-0083;CL. CONSTITUCIÓN, 2  (C.C. EL ROSAL), LOCAL 155   ;24404;PONFERRADA;LEON;987406707;987406707;ESTABLECIMIENTOS SANITARIOS (ÓPTICAS, ORTOPEDIAS, AUDIOPRÓTESIS);ESTABLECIMIENTO DE ÓPTICA;TERRÓN ÓPTICO, CB.;PRIVADOS;
ALAIN AFFLELOU ÓPTICO;09-E-0067;CL. LAIN CALVO 25  ;09003;BURGOS;BURGOS;947278020;947278852;ESTABLECIMIENTOS SANITARIOS (ÓPTICAS, ORTOPEDIAS, AUDIOPRÓTESIS);ESTABLECIMIENTO DE AUDIOPRÓTESIS#ESTABLECIMIENTO DE ÓPTICA;ÓPTICA UFE, S.L.;PRIVADOS;
ALAIN AFFLELOU ÓPTICO;47-E3-0013;CL. PADILLA 12  ;47400;MEDINA DEL CAMPO;VALLADOLID;983800292;0;ESTABLECIMIENTO DE ÓPTICA;ESTABLECIMIENTO DE ÓPTICA;LAVEMA ÓPTICA S.L.;PRIVADOS;
ALAIN AFFLELOU ÓPTICO (CALLE TORO);37-E-0059;CL. TORO 100  ;37002;SALAMANCA;SALAMANCA;936756804;0;ESTABLECIMIENTOS SANITARIOS (ÓPTICAS, ORTOPEDIAS, AUDIOPRÓTESIS);ESTABLECIMIENTO DE ÓPTICA;ZA & BELL OPTICA S.L.;PRIVADOS;
ALAIN AFFLELOU ÓPTICO (CENTRO COMERCIAL CARREFOUR);37-E-0009;AV. AGUSTINOS RECOLETOS  1-35  ;37005;SALAMANCA;SALAMANCA;923248800;923248283;ESTABLECIMIENTOS SANITARIOS (ÓPTICAS, ORTOPEDIAS, AUDIOPRÓTESIS);ESTABLECIMIENTO DE ÓPTICA;ZA & BELL OPTICA S.L.;PRIVADOS;
ALBA VERA, PSICOLOGÍA;47-C22-0160;CL. DOMINGO MARTÍNEZ (INSTALACIONES DE LA C. DE MED. ESTÉTICA SENSYBELL MEDICA) 6  ;47007;VALLADOLID;VALLADOLID;606585684;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;OTRAS UNIDADES ASISTENCIALES (PSICOLOGÍA SANITARIA);VERA TEMIÑO , ALBA;PRIVADOS;
ALBERTO MARTÍNEZ, FISIOTERAPIA Y OSTEOPATÍA;47-C22-0105;CL. FELIPE II 7  A;47003;VALLADOLID;VALLADOLID;658639220;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;MARTÍNEZ FERNÁNDEZ , ALBERTO;PRIVADOS;
ALBIA PSICOLOGÍA;09-C22-0161;PQ. DE LA LUZ 1  B;09006;BURGOS;BURGOS;947241222;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;OTRAS UNIDADES ASISTENCIALES (PSICOLOGÍA SANITARIA);VEDIA CEREZ0 , CARMEN;PRIVADOS;
ALBOR RS PSICÓLOGOS;05-C22-0082;CL. ESTRADA 3  B;05001;AVILA;AVILA;650541777;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;OTRAS UNIDADES ASISTENCIALES (PSICOLOGÍA SANITARIA);SOMOZA CANDIL , MARÍA DEL ROSARIO;PRIVADOS;
ALCALÁ PSICOTERAPIA BREVE;37-C22-0249;PZ. DE ESPAÑA Nº 5-6, DESPACHO 106 (EDIFICIO ESPAÑA)   ;37004;SALAMANCA;SALAMANCA;923121872;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;PSICOLOGÍA CLÍNICA;ALCALÁ PSICOTERAPIA BREVE S.L.P.;PRIVADOS;
ALCALAYA CLÍNICA OFTALMOLÓGICA;47-C21-0021;CL. ITALIA 3  A;47007;VALLADOLID;VALLADOLID;983233950;0;CONSULTAS MÉDICAS;OFTALMOLOGÍA;ALCALAYA LEARRA , MARÍA ANGELES;PRIVADOS;
ALEA CONSULTA DIETÉTICA;37-C22-0073;CL. AZAFRANAL 28  ;37001;SALAMANCA;SALAMANCA;636618632;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;NUTRICIÓN Y DIETÉTICA;ASTUDILLO CABO, C.B.;PRIVADOS;
ALERGIASMA;09-C2590-0048;CL. CRUZ ROJA (HOSPITAL RECOLETAS DE BURGOS) 0  ;09006;BURGOS;BURGOS;947244055;947240424;OTROS CENTROS ESPECIALIZADOS;ALERGOLOGÍA;ALERGIASMA, S.C.;PRIVADOS;
ALIANZA MÉDICA;47-C24-0064;CL. SAN LORENZO 9  I;47001;VALLADOLID;VALLADOLID;983338220;0;CENTROS POLIVALENTES;ALERGOLOGÍA#APARATO DIGESTIVO#ENFERMERÍA#MEDICINA INTERNA#REUMATOLOGÍA;ALONSO GÓMEZ , ALICIA;PRIVADOS;
ALMA R. TOQUERO FISIOTERAPIA;47-C22-0158;CL. FEDERICO GARCÍA LORCA 4  ;47193;CISTERNIGA;VALLADOLID;627988469;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;RODRÍGUEZ TOQUERO , ALMA Mª;PRIVADOS;
ALSER ORTOPEDIA;09-E-0063;AV. CID CAMPEADOR  89  ;09006;BURGOS;BURGOS;947237899;0;ESTABLECIMIENTOS SANITARIOS (ÓPTICAS, ORTOPEDIAS, AUDIOPRÓTESIS);ESTABLECIMIENTO DE ORTOPEDIA;ALSER ORTOPEDIA BURGOS S.L.;PRIVADOS;
ALSIER TERAPIAS;09-C22-0074;CL. REPÚBLICA ARGENTINA 68  ;09200;MIRANDA DE EBRO;BURGOS;947332960;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;LOGOPEDIA;BUESA GARAYO , PAZ;PRIVADOS;
ALTERAUDIO;09-E-0059;CL. CALLEJA Y ZURITA 17  ;09001;BURGOS;BURGOS;947040370;0;ESTABLECIMIENTOS SANITARIOS (ÓPTICAS, ORTOPEDIAS, AUDIOPRÓTESIS);ESTABLECIMIENTO DE AUDIOPRÓTESIS;FUNDACION ALTER;PRIVADOS;
ÁLVAREZ QUINTANA, C. B.;24-E-0058;CL. SANTALLA DE OSCOS 20  ;24560;TORAL DE LOS VADOS;LEON;987544246;987544246;ESTABLECIMIENTOS SANITARIOS (ÓPTICAS, ORTOPEDIAS, AUDIOPRÓTESIS);ESTABLECIMIENTO DE ÓPTICA;ALVAREZ QUINTANA, C. B.;PRIVADOS;
AMADENTAL;37-C251-0034;AV. DE VILLAMAYOR 40-48  H;37007;SALAMANCA;SALAMANCA;923245497;0;ESPECIALIZADOS: CLÍNICAS DENTALES;ODONTOLOGÍA / ESTOMATOLOGÍA;AMADENTAL, C.B.;PRIVADOS;
AMBU-ÁVILA CENTRO MÓVIL DE ASISTENCIA SANITARIA SA-01382-R;05-C257-0005;CL. VALLADOLID 50-61  ;05005;AVILA;AVILA;619288795;920259183;CENTROS MÓVILES DE ASISTENCIA SANITARIA;URGENCIAS;AMBU-ÁVILA, S.L.;PRIVADOS;
AMBUBIERZO;24-C290-0017;CL. MAESTRO URIARTE 3  ;24007;LEON;LEON;987876216;987876230;OTROS PROVEEDORES DE ASIST. SANITARIA SIN INTERNAMIENTO;TRANSPORTE SANITARIO ;AMBUBIERZO, S.L.;PRIVADOS;
AMBUBIERZO S.V.A.;24-C257-0019;CL. MAESTRO URIARTE 3  ;24007;LEON;LEON;987876216;987876230;CENTROS MÓVILES DE ASISTENCIA SANITARIA;;AMBUBIERZO, S.L.;PRIVADOS;
AMBUFEL S.L.;24-C257-0002;BO. DE ABAJO 0  ;24139;SOSAS DE LACIANA;LEON;987480572;0;CENTROS MÓVILES DE ASISTENCIA SANITARIA;TRANSPORTE SANITARIO ;AMBUFEL S.L.;PRIVADOS;
AMBUIBÉRICA;47-C290-0009;CL. TAMBORILA S/N   ;47610;VALLADOLID;VALLADOLID;902180059;983344623;OTROS PROVEEDORES DE ASIST. SANITARIA SIN INTERNAMIENTO;OTRAS UNIDADES ASISTENCIALES (PSICOLOGÍA SANITARIA)#TRANSPORTE SANITARIO ;AMBUIBÉRICA, S.L.;PRIVADOS;
AMBUIBÉRICA SERVICIOS SANITARIOS S.A.;47-C290-0011;CL. TAMBORILA S/N   ;47610;ZARATAN;VALLADOLID;902180059;983344623;OTROS PROVEEDORES DE ASIST. SANITARIA SIN INTERNAMIENTO;TRANSPORTE SANITARIO ;AMBULANCIAS VALLADOLID, S.A.;PRIVADOS;
AMBUIBÉRICA SERVICIOS SANITARIOS S.A. (S.V.A.);47-C257-0021;CL. TAMBORILA S/N   ;47610;ZARATAN;VALLADOLID;902180059;983344623;CENTROS MÓVILES DE ASISTENCIA SANITARIA;TRANSPORTE SANITARIO #URGENCIAS;AMBULANCIAS VALLADOLID, S.A.;PRIVADOS;
AMBUIBERICA S.L;;CL. DOCTOR CARRACIDO 7  ;49006;ZAMORA;ZAMORA;902180059;0;;;;;
AMBUIBERICA S.L.;49-C290-0001;CL. DOCTOR CARRACIDO (EMERGENCIAS DEL NOROESTE) 7  ;49006;ZAMORA;ZAMORA;902180059;0;OTROS PROVEEDORES DE ASIST. SANITARIA SIN INTERNAMIENTO;TRANSPORTE SANITARIO ;AMBUIBÉRICA, S.L.;PRIVADOS;
AMBUIBERICA S.L.;34-C290-0002;CL. ITALIA 227  ;34004;PALENCIA;PALENCIA;902180059;983344623;OTROS PROVEEDORES DE ASIST. SANITARIA SIN INTERNAMIENTO;TRANSPORTE SANITARIO ;AMBUIBÉRICA, S.L.;PRIVADOS;
AMBUIBÉRICA, S.L. (S.V.A.);34-C257-0004;CL. ITALIA 227  ;34000;PALENCIA;PALENCIA;902180059;979165819;CENTROS MÓVILES DE ASISTENCIA SANITARIA;TRANSPORTE SANITARIO #URGENCIAS;AMBUIBÉRICA, S.L.;PRIVADOS;
AMBUIBÉRICA (SVA)  SOPORTE VITAL AVANZADO;47-C257-0020;CL. TAMBORILA S/N   ;47610;ZARATAN;VALLADOLID;902180059;983344623;CENTROS MÓVILES DE ASISTENCIA SANITARIA;TRANSPORTE SANITARIO #URGENCIAS;AMBUIBÉRICA, S.L.;PRIVADOS;
AMBULANCIAS ÁLVAREZ, S.L.;24-C290-0008;CR. DE CIRCUNVALACIÓN 0  ;24240;SANTA MARIA DEL PARAMO;LEON;987360077;987360027;OTROS PROVEEDORES DE ASIST. SANITARIA SIN INTERNAMIENTO;TRANSPORTE SANITARIO ;AMBULANCIAS ÁLVAREZ, S.L.;PRIVADOS;
AMBULANCIAS ÁLVAREZ, S.L. (SVA);24-C257-0005;CR. DE CIRCUNVALACIÓN 0  ;24240;LEON;LEON;987360077;987360027;CENTROS MÓVILES DE ASISTENCIA SANITARIA;TRANSPORTE SANITARIO #URGENCIAS;AMBULANCIAS ÁLVAREZ, S.L.;PRIVADOS;
AMBULANCIAS AMBU-ÁVILA;05-C290-0001;PG. VICOLOZANO, PARCELA 59, NAVE 8   ;05194;AVILA;AVILA;619288795;920259183;OTROS PROVEEDORES DE ASIST. SANITARIA SIN INTERNAMIENTO;TRANSPORTE SANITARIO ;AMBU-ÁVILA, S.L.;PRIVADOS;
AMBULANCIAS AMBU-ÁVILA (SVA);05-C257-0007;PG. VICOLOZANO, PARCELA 59, NAVE 8   ;05000;AVILA;AVILA;619288795;920259183;CENTROS MÓVILES DE ASISTENCIA SANITARIA;TRANSPORTE SANITARIO #URGENCIAS;AMBU-ÁVILA, S.L.;PRIVADOS;
AMBULANCIAS ARTURO, S.A.;47-C290-0002;CL. ABETOS, Nº 1, 2ª PLANTA   ;47009;VALLADOLID;VALLADOLID;983360400;983374512;OTROS PROVEEDORES DE ASIST. SANITARIA SIN INTERNAMIENTO;TRANSPORTE SANITARIO ;AMBULANCIAS ARTURO, S.A.;PRIVADOS;
AMBULANCIAS ARTURO, S.A. (SVA);47-C257-0011;CL. ABETOS, Nº 1, 2ª PLANTA   ;47009;VALLADOLID;VALLADOLID;983360400;983374512;CENTROS MÓVILES DE ASISTENCIA SANITARIA;TRANSPORTE SANITARIO #URGENCIAS;AMBULANCIAS ARTURO, S.A.;PRIVADOS;
AMBULANCIAS BENAVENTE;49-C290-0002;CD. DE LA VIZANA 28  ;49600;BENAVENTE;ZAMORA;0;980636312;OTROS PROVEEDORES DE ASIST. SANITARIA SIN INTERNAMIENTO;TRANSPORTE SANITARIO ;AMBULANCIAS BENAVENTE, S.L.;PRIVADOS;
AMBULANCIAS BENAVENTE (SVA);49-C257-0011;CD. DE LA VIZANA 28  ;49600;BENAVENTE;ZAMORA;980632130;980636312;CENTROS MÓVILES DE ASISTENCIA SANITARIA;TRANSPORTE SANITARIO #URGENCIAS;AMBULANCIAS BENAVENTE, S.L.;PRIVADOS;
AMBULANCIAS BURGALESAS, S.L.;09-C290-0002;CR. MADRID-IRÚN, KM. 243, NAVE 238 (NAVES TAGLOSA)   ;09007;BURGOS;BURGOS;947205100;947482728;OTROS PROVEEDORES DE ASIST. SANITARIA SIN INTERNAMIENTO;TRANSPORTE SANITARIO ;AMBULANCIAS BURGALESAS, S.L.;PRIVADOS;
AMBULANCIAS BURGALESAS, S.L. (SVA);09-C257-0005;CR. MADRID-IRÚN, KM. 243, NAVE 238 (NAVES TAGLOSA)   ;09007;BURGOS;BURGOS;947205100;947482728;CENTROS MÓVILES DE ASISTENCIA SANITARIA;TRANSPORTE SANITARIO #URGENCIAS;AMBULANCIAS BURGALESAS, S.L.;PRIVADOS;
AMBULANCIAS CARRACEDO;24-C290-0014;CL. MAESTRO URIARTE 3  ;24007;LEON;LEON;987876216;987876230;OTROS PROVEEDORES DE ASIST. SANITARIA SIN INTERNAMIENTO;TRANSPORTE SANITARIO ;AMBULANCIAS CARRACEDO, S.L.;PRIVADOS;
AMBULANCIAS DIAMANTINO PANIAGUA SEVILLANO;37-C290-0001;CL. TRANSPORTISTAS 13  ;37000;SALAMANCA;SALAMANCA;923265050;0;OTROS PROVEEDORES DE ASIST. SANITARIA SIN INTERNAMIENTO;TRANSPORTE SANITARIO ;PANIAGUA SEVILLANO , DIAMANTINO;PRIVADOS;
